Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
5.000000000000004,-0.01881401244000071,-2.223461092981625,-39.51590415888899
5.193679599768187,-0.01936365127689717,-2.351832345276352,-40.60130766131334
5.394861557009643,-0.01982567298691288,-2.486707788447058,-41.70002659443617
5.603836482442918,-0.02043691982066342,-2.626818018643598,-42.80384847589109
5.820906243860088,-0.02107362740446914,-2.772498722636365,-43.91845885435418
6.046384402179876,-0.02199610481526457,-2.924512331958625,-45.0386404723963
6.280596664391632,-0.0284155324919991,-3.088025352302798,-46.24417892525125
6.523881354044583,-0.02926290427278533,-3.252211212706678,-47.37451803422216
6.776589899961876,-0.03015892396140587,-3.421637869457533,-48.50816608453954
7.03908734388542,-0.03086179013566401,-3.598119363419073,-49.6440240030379
7.311752867784822,-0.03173732054442982,-3.780103636154605,-50.77698628746275
7.594980341592107,-0.03274714217510484,-3.967581095784131,-51.90896921285891
7.889178892153454,-0.03375072611208502,-4.161144746233742,-53.03806005722255
8.194773494219818,-0.03467072998172341,-4.360145101067667,-54.16496667513518
8.512205584330108,-0.03566206343035918,-4.564674674823084,-55.28782894513395
8.841933698473609,-0.03649797214192355,-4.775443970733534,-56.40389400915685
9.184434134453042,-0.03736850905743562,-4.991392137087082,-57.51375793484817
9.540201639904662,-0.03833725768469018,-5.212053538103028,-58.6161682267893
9.909750126969561,-0.03936495876061461,-5.4385385250772,-59.70802701952199
10.29361341464839,-0.04032741130369091,-5.669673915889346,-60.79334295040194
10.69234599991189,-0.04126507889435632,-5.905953160812705,-61.86638589537711
11.10652385868105,-0.04234518508368566,-6.146898723582702,-62.92986998151419
11.53674527783408,-0.04305384461473521,-6.392835124655551,-63.98227028822816
11.98363171944175,-0.04402557769458859,-6.642382679653762,-65.02510169104032
12.44782871847991,-0.04496408580341774,-6.897352135825687,-66.05688266925586
12.93000681531552,-0.04593971657603824,-7.156250734066808,-67.07231755376782
13.43086252431356,-0.04680801804149912,-7.4183754024041,-68.08061735211635
13.95111933996366,-0.04775604364218204,-7.684806634355144,-69.07581880538783
14.49152878198011,-0.0487767870909877,-7.955046011731655,-70.05696375421327
15.05287148088471,-0.0497710175326643,-8.228986174429666,-71.02686744287551
15.63595830564064,-0.05075652170295082,-8.505668065252731,-71.98889568590423
16.24163153496633,-0.05162213500358437,-8.786725327222197,-72.93757395176925
16.87076607402124,-0.05291273480647586,-9.069552884800666,-73.872599263105
17.52427071822106,-0.05386689159485482,-9.356733051756647,-74.79711516251609
18.20308946600793,-0.05527062860147519,-9.64594561229905,-75.7144765867418
18.90820288247209,-0.0506480076672424,-9.937698686810641,-76.62149241860642
19.64062951579463,-0.04594354106137218,-10.23594063937703,-77.54850511920321
20.40142736855748,-0.0468003153443999,-10.53327630469887,-78.43491776989076
21.19169542604583,-0.04806092246262467,-10.83248515579289,-79.31656204838345
22.01257524375101,-0.04898995299502792,-11.13598569827491,-80.19336827977618
22.86525259636632,-0.04847717817300309,-11.4405809767632,-81.05630380273391
23.75095919065885,-0.04980264595983329,-11.74709460408558,-81.91870745972713
24.6709744446903,-0.05095053299429564,-12.05540253691917,-82.76982130225083
25.62662733595803,-0.05233410994801956,-12.36646655396519,-83.62072012468801
26.61929832112537,-0.05380437979001369,-12.67990162104771,-84.46614252287759
27.65042133011443,-0.05517419231490233,-12.99543759182878,-85.31456191587415
28.72148583744206,-0.05692277071001044,-13.31140734932842,-86.15290943116602
29.83403901379073,-0.05861090864875795,-13.63012893129494,-86.99408759683796
30.98968796092259,-0.06028140556266458,-13.95114078666151,-87.83276153468749
32.19010203316506,-0.06196677710896985,-14.27529137545058,-88.66304079600656
33.43701524882113,-0.06401168185507766,-14.59901439225058,-89.50454993709165
34.73222879498799,-0.06593087140166545,-14.92571736504921,-90.34961604711486
36.07761362940199,-0.06797968143083424,-15.25416525106009,-91.19351194963929
37.47511318306874,-0.07057236189076917,-15.58423202391837,-92.0365166465723
38.92674616758156,-0.07301920064915939,-15.91578206183756,-92.89883549058396
40.43460949118452,-0.07554872030537964,-16.25086849164042,-93.74601065089058
42.00088128779159,-0.07872433716533644,-16.58730899389399,-94.6147338929544
43.62782406333763,-0.08160226673047742,-16.9253866593057,-95.48870525480596
45.31778796400646,-0.08503858572422592,-17.26442799309343,-96.36315982047373
47.07321417105604,-0.08894794975229615,-17.6077153384053,-97.26227829120867
48.89663842714646,-0.09318866205536923,-17.95106263468118,-98.16064936640612
50.79069469926225,-0.09743508277257851,-18.29918226357461,-99.09600518147511
52.75811898352251,-0.1019887683215902,-18.64791631626629,-100.0117271677714
54.80175325737261,-0.1070065340492488,-18.99951520657861,-100.9296320710829
56.9245495848692,-0.112219360496501,-19.35620405127393,-101.872608018915
59.12957438098545,-0.1178173196987772,-19.71083636438715,-102.7887973047342
61.42001284109995,-0.1237066258396562,-20.06638973931403,-103.7454769904336
63.79917354206406,-0.1306847335591807,-20.43009507455562,-104.7277259624197
66.27049322149762,-0.1374465162313013,-20.79649088310823,-105.7390571412527
68.83754174221349,-0.1450631661942123,-21.16692908363696,-106.7673430670934
71.50402724894498,-0.1527998496745032,-21.54292912579334,-107.83982037135
74.27380152482274,-0.1613055314324212,-21.92182657859785,-108.9469602028424
77.15086555534056,-0.1701051076746157,-22.30425783290363,-110.0303679027952
80.13937530784601,-0.1792134880606264,-22.69572173376775,-111.1807158738987
83.24364773490517,-0.1891059943152634,-23.09889310445546,-112.4421333735289
86.46816701021318,-0.2002366491931808,-23.53312495673478,-113.9563718186794
89.81759100605836,-0.2108487445290621,-23.93762837613867,-115.1831931118496
93.2967580216975,-0.2229937803347494,-24.34860387325537,-116.4015499043053
96.91069377235976,-0.2467150621609107,-24.76568613352205,-117.6634572382546
100.6646186489773,-0.2824137241103315,-25.18628966385971,-118.9158360736832
104.5639552591274,-0.327714113610656,-25.60767383459866,-120.1702727951034
108.6143362600806,-0.38170045490731,-26.03573128754529,-121.4373308755907
112.8216124952683,-0.4432035174077099,-26.4716000583446,-122.7267787145414
117.1918614459253,-0.5159240697573829,-26.8963702250546,-123.8600685656653
121.7313960101122,-0.6117872027678081,-27.28475280102956,-124.6555375917203
126.4467736218044,-0.7006800507658397,-27.70635553319737,-125.779403029821
131.3448057232141,-0.7930612532212261,-28.15393857495112,-127.0269753223019
136.4325676040345,-0.8864754715703151,-28.61719470766364,-128.3050007368592
141.7174086218134,-0.9956424608197214,-29.06116563104039,-129.6250452110362
147.2069628182249,-1.109238982556719,-29.52864548431519,-130.9667705594537
152.9091599465694,-1.230980393635278,-30.01396438520364,-132.2671251071279
158.8322369264376,-1.36901089558262,-30.47108109844258,-133.4901162322793
164.984749742077,-1.491615631229804,-30.96628146454732,-134.884592611287
171.3755858016569,-1.609882527244782,-31.47503200075123,-136.3503951106853
178.0139767752773,-1.736740643030416,-31.98417148512186,-137.7223234648696
184.9095119302729,-1.861701962068336,-32.49049949262019,-139.1661595487077
192.0721519830699,-1.97472120273569,-33.03098916608847,-140.6085565121795
199.5122434876088,-2.099209712874802,-33.55205569988475,-142.0348952603027
207.2405337811153,-2.215123008951458,-34.10050669097662,-143.4364321891393
215.2681865088094,-2.351062506697157,-34.63552026499444,-144.6681343458667
223.6067977499791,-2.466127250835094,-35.20050465447888,-146.1213808009068
232.2684127687112,-2.557019160372708,-35.8237381127196,-147.6480257860942
241.2655434134781,-2.663817890508615,-36.40795220441578,-149.2050457645176
250.6111861907132,-2.763524652206509,-37.03766130875994,-150.4574283744294
260.3188410384826,-2.885108622339879,-37.64413957918693,-151.7701781334718
270.4025308273726,-2.981240242509412,-38.28659419112254,-153.2475501234514
280.8768216167624,-3.046557319456953,-38.94499645339296,-154.6669356444683
291.7568436957411,-3.13229164082316,-39.60054289234342,-156.0424062051056
303.0583134390649,-3.232637326778126,-40.23535422795015,-157.4382738285481
314.7975560097246,-3.315690768407983,-40.91521942741021,-158.639544358998
326.9915289409175,-3.383359697685276,-41.60695830848989,-159.9028761344914
339.6578466314901,-3.479504212817819,-42.28626667601383,-161.1754868571584
352.8148057902321,-3.556488973414334,-42.98232578713225,-162.1707100913308
366.4814118657799,-3.615951089830916,-43.76896531133461,-163.6413537733482
380.6774065003085,-3.681916736955324,-44.47374360420418,-164.863521526481
395.4232960466621,-3.746041238359061,-45.27464366292749,-166.0831941412421
410.7403811901287,-3.796523313787355,-46.02028983885265,-167.1812306967126
426.6507877176357,-3.861971499359882,-46.86681102160491,-167.9541596284761
443.177498478822,-3.909816110880541,-47.7050633683122,-169.007066202277
460.3443865851503,-3.961154093595912,-48.5405770385588,-169.8470274189463
478.1762498950186,-4.022269853604847,-49.38863618188434,-170.4551963112771
496.6988468346821,-4.095504669301246,-50.41512083064827,-171.0741160040581
515.9389336067339,-4.145559395794509,-51.14266758371912,-172.6333164619276
535.9243028398886,-4.171025141723374,-52.24559644948456,-173.3551534948324
556.683823735903,-4.193196848844616,-53.04198184934506,-172.5392284441947
578.2474837716212,-4.223981517505925,-54.02257500031776,-173.517064927811
600.6464320163901,-4.285793298703961,-55.13486325626165,-173.2938538213355
623.9130241274144,-4.324193937511859,-56.16726851358369,-171.4842042159484
648.0808690880452,-4.338914093970453,-57.41730934300487,-173.5107426217288
673.1848777565228,-4.372247711262538,-58.59331361151462,-171.0652431381005
699.2613132952977,-4.39402750737654,-59.15137857720797,-169.7118253190901
726.3478435537792,-4.426468085002242,-60.81621765115626,-167.5453544225759
754.4835954801747,-4.434841057974467,-61.91483968101474,-168.4428901626255
783.7092116410267,-4.455160451865864,-63.88326723890226,-162.8431156433508
814.0669089300806,-4.462956648925005,-65.18654418797209,-158.9546427730751
845.6005395513006,-4.496919665735983,-66.81101917220361,-147.1455835272662
878.3556543641115,-4.515007230510402,-68.41700919228916,-140.7612899281952
912.3795686823837,-4.532204191915767,-68.18404304900673,-126.5246652450615
947.7214306221969,-4.565180398049832,-70.94317994197488,-117.1287217469272
984.4322920971236,-4.572873790664419,-71.11252218785808,-99.87265373322595
1022.565182563573,-4.608752486661927,-69.77829054475112,-96.29183427795363
1062.175185622731,-4.619515045470265,-68.75876168042358,-84.52472156828847
1103.319518589752,-4.619434235136463,-67.65384732575045,-73.69490896739683
1146.057615145129,-4.61189952417378,-66.58286873313597,-72.86097231863138
1190.451211187646,-4.63415816852145,-67.36761416165234,-72.33924932910146
1236.56443401292,-4.637733237315823,-65.36888563382253,-66.93017855045741
1284.463894946358,-4.659034344385462,-64.84866160984704,-65.99477101719511
1334.218785564337,-4.650856443846861,-64.85498356734981,-70.43918625154531
1385.900977642595,-4.663865280198326,-63.77307812164516,-65.86934934426002
1439.585126976225,-4.669526384293968,-64.71304262130157,-66.80684801955817
1495.348781221221,-4.670620608172422,-63.39972516716892,-66.26162785292036
1553.272491913374,-4.685067444019759,-62.88670731566305,-66.01308206024879
1613.439930826316,-4.713188477751146,-63.26524354783405,-65.84627083923397
1675.938010836804,-4.714452451429763,-62.41078910494436,-62.07593705857044
1740.857011471835,-4.712418683079944,-62.51430379823987,-62.2038464477597
1808.290709318935,-4.715326902657523,-61.88029501431036,-70.17929061830037
1878.336513488017,-4.707748720477969,-62.06896509523193,-68.96064096927807
1951.095606320481,-4.703098404855883,-61.66648304343045,-69.93939986945301
2026.673089548803,-4.711650108792647,-61.6210800491647,-74.03515473959831
2105.178136117755,-4.701046458163019,-61.68571717905617,-76.17239442226099
2186.724147886557,-4.712110617009399,-61.03825608219648,-73.6807278443689
2271.428919439774,-4.73337874709944,-61.29277632340716,-76.87486823892212
2359.414808243569,-4.736505199415942,-61.09580348507371,-74.87464403389627
2450.808911393114,-4.713471356149455,-61.14249548635335,-80.90465170481087
2545.743249206496,-4.725796245427338,-61.14686668614819,-80.4013253355821
2644.354955930269,-4.728911628362618,-61.04227967115381,-81.9165924367373
2746.786477832185,-4.738384623886816,-60.83078343166177,-83.47623212092958
2853.185778967223,-4.739938114632879,-61.15414872897929,-84.44973586529164
2963.706554914151,-4.751035187292757,-61.02814096421429,-89.44520595584663
3078.508454791373,-4.771722270075825,-61.33178099974903,-90.8786790794796
3197.757311872764,-4.756933817761577,-60.90889854650266,-89.45109609096006
3321.625383136623,-4.754148476016777,-60.90682127799174,-90.01924837882412
3450.29159809377,-4.741291882450581,-61.47187565664385,-92.8003549078332
3583.941817254234,-4.731365362353756,-61.62837339243115,-94.84725307060535
3722.769100605884,-4.730571978650193,-61.87891215941869,-94.22618447514088
3866.973986492825,-4.720649778059759,-61.5552619512081,-94.56766053394767
4016.764781296405,-4.732451901473457,-61.94446964717226,-97.78706139615389
4172.357860337288,-4.728481482737015,-61.71913180144126,-99.67752401903944
4333.977980433238,-4.724343129912722,-61.9799734670158,-101.769029132153
4501.858604564123,-4.736023122819696,-61.53172767620676,-104.0008318149539
4676.242239113109,-4.765704743577496,-61.83900297744717,-99.79772847330048
4857.380784171206,-4.767625143063691,-62.10611186817025,-99.8700135730183
5045.535897411194,-4.759061001257676,-61.29695884180619,-96.84155871935911
5240.979372056512,-4.758593409027529,-61.54962421218427,-100.3362463713368
5443.993529491152,-4.743157522513185,-61.37074491591532,-103.4227740147732
5654.871627077637,-4.736703137551331,-61.68184606697103,-100.9474764153293
5873.918281772205,-4.744814934952897,-61.02887009357707,-106.8829728799367
6101.449910149134,-4.760285867341512,-61.6343122977776,-102.5912115391445
6337.795185469787,-4.739467345636351,-62.33637953984223,-105.0471563100923
6583.295512456686,-4.739001094259277,-60.62182734603753,-106.1349510244339
6838.305520458342,-4.738446913079622,-60.54060558704101,-102.1248697775663
7103.193575717326,-4.753387024472085,-60.48973503841624,-104.3034887411035
7378.342313481497,-4.760681541993796,-60.24420309074649,-108.4683332501206
7664.149190727045,-4.749250454000417,-59.93326644989357,-107.9904476676423
7961.027060291774,-4.759798373357364,-60.41635717277008,-112.0868579900713
8269.404767247968,-4.75421840238346,-59.94511147684594,-104.9386053747777
8589.727768376304,-4.753430429113977,-59.32660604735596,-113.6250017710566
8922.458775635656,-4.741929662938445,-59.78149687546187,-112.0069245710347
9268.0784245583,-4.726945521460101,-58.9813922496689,-112.7615510845854
9627.085968536014,-4.738894658725505,-59.05041765735422,-117.7034877017741
10000,-4.747603374202639,-59.20491001225959,-116.1293106581265
